,Market Return,Rf
196307,-0.66,0.27
196308,4.82,0.25
196309,-1.84,0.27
196310,2.24,0.29
196311,-1.12,0.27
196312,1.54,0.29
196401,1.94,0.3
196402,1.28,0.26
196403,1.1,0.31
196404,-0.19,0.29
196405,1.16,0.26
196406,0.97,0.3
196407,1.44,0.3
196408,-1.72,0.28
196409,2.41,0.28
196410,0.3,0.29
196411,-0.29,0.29
196412,-0.28,0.31
196501,3.26,0.28
196502,0.14,0.3
196503,-1.7,0.36
196504,2.8,0.31
196505,-1.08,0.31
196506,-5.86,0.35
196507,1.12,0.31
196508,2.4,0.33
196509,2.55,0.31
196510,2.29,0.31
196511,-0.38,0.35
196512,0.68,0.33
196601,0.34,0.38
196602,-1.56,0.35
196603,-2.89,0.38
196604,1.8,0.34
196605,-6.07,0.41
196606,-1.82,0.38
196607,-1.98,0.35
196608,-8.32,0.41
196609,-1.46,0.4
196610,3.41,0.45
196611,1,0.4
196612,-0.27,0.4
196701,7.72,0.43
196702,0.42,0.36
196703,3.6,0.39
196704,3.57,0.32
196705,-4.66,0.33
196706,2.14,0.27
196707,4.27,0.31
196708,-1.2,0.31
196709,2.79,0.32
196710,-3.48,0.39
196711,0.01,0.36
196712,2.72,0.33
196801,-4.46,0.4
196802,-4.14,0.39
196803,-0.18,0.38
196804,8.62,0.43
196805,1.83,0.45
196806,0.26,0.43
196807,-3.2,0.48
196808,0.92,0.42
196809,3.6,0.43
196810,-0.02,0.44
196811,5.01,0.42
196812,-4.37,0.43
196901,-1.78,0.53
196902,-6.3,0.46
196903,2.18,0.46
196904,0.93,0.53
196905,-0.58,0.48
196906,-7.69,0.51
196907,-7.53,0.53
196908,4.18,0.5
196909,-3.6,0.62
196910,4.46,0.6
196911,-4.31,0.52
196912,-3.27,0.64
197001,-8.7,0.6
197002,4.51,0.62
197003,-1.63,0.57
197004,-11.5,0.5
197005,-7.45,0.53
197006,-6.37,0.58
197007,6.41,0.52
197008,3.96,0.53
197009,3.64,0.54
197010,-2.74,0.46
197011,4.14,0.46
197012,5.3,0.42
197101,4.46,0.38
197102,1.08,0.33
197103,3.83,0.3
197104,2.87,0.28
197105,-4.27,0.29
197106,-0.47,0.37
197107,-4.9,0.4
197108,3.32,0.47
197109,-1.22,0.37
197110,-4.79,0.37
197111,-0.83,0.37
197112,8.34,0.37
197201,2.2,0.29
197202,2.62,0.25
197203,0.36,0.27
197204,0,0.29
197205,0.95,0.3
197206,-2.72,0.29
197207,-1.11,0.31
197208,2.97,0.29
197209,-1.48,0.34
197210,0.12,0.4
197211,4.23,0.37
197212,0.25,0.37
197301,-3.73,0.44
197302,-5.26,0.41
197303,-1.76,0.46
197304,-6.2,0.52
197305,-3.45,0.51
197306,-2.08,0.51
197307,4.41,0.64
197308,-4.52,0.7
197309,4.07,0.68
197310,-1.48,0.65
197311,-13.31,0.56
197312,-0.03,0.64
197401,-0.8,0.63
197402,-1.05,0.58
197403,-3.37,0.56
197404,-6.04,0.75
197405,-5.43,0.75
197406,-3.43,0.6
197407,-8.75,0.7
197408,-9.95,0.6
197409,-12.58,0.81
197410,15.59,0.51
197411,-5.05,0.54
197412,-4.15,0.7
197501,13.08,0.58
197502,5.13,0.43
197503,2.25,0.41
197504,3.79,0.44
197505,4.75,0.44
197506,4.42,0.41
197507,-7.07,0.48
197508,-3.33,0.48
197509,-4.79,0.53
197510,4.75,0.56
197511,2.23,0.41
197512,-2.08,0.48
197601,11.69,0.47
197602,-0.02,0.34
197603,1.92,0.4
197604,-1.91,0.42
197605,-1.71,0.37
197606,3.62,0.43
197607,-1.54,0.47
197608,-0.98,0.42
197609,1.63,0.44
197610,-2.83,0.41
197611,-0.04,0.4
197612,5.25,0.4
197701,-4.41,0.36
197702,-2.29,0.35
197703,-1.75,0.38
197704,-0.23,0.38
197705,-1.82,0.37
197706,4.31,0.4
197707,-2.11,0.42
197708,-2.19,0.44
197709,-0.7,0.43
197710,-4.87,0.49
197711,3.5,0.5
197712,-0.22,0.49
197801,-6.5,0.49
197802,-1.84,0.46
197803,2.32,0.53
197804,7.34,0.54
197805,1.25,0.51
197806,-2.23,0.54
197807,4.55,0.56
197808,3.19,0.56
197809,-2.05,0.62
197810,-12.59,0.68
197811,2.01,0.7
197812,0.1,0.78
197901,3.46,0.77
197902,-4.29,0.73
197903,4.87,0.81
197904,-0.86,0.8
197905,-3.03,0.82
197906,3.04,0.81
197907,0.05,0.77
197908,4.76,0.77
197909,-1.65,0.83
197910,-8.97,0.87
197911,4.22,0.99
197912,0.84,0.95
198001,4.71,0.8
198002,-2.11,0.89
198003,-14.11,1.21
198004,2.71,1.26
198005,4.45,0.81
198006,2.45,0.61
198007,5.96,0.53
198008,1.16,0.64
198009,1.44,0.75
198010,0.11,0.95
198011,8.63,0.96
198012,-5.83,1.31
198101,-6.08,1.04
198102,-0.5,1.07
198103,2.35,1.21
198104,-3.19,1.08
198105,-1.04,1.15
198106,-3.71,1.35
198107,-2.78,1.24
198108,-8.32,1.28
198109,-8.41,1.24
198110,3.71,1.21
198111,2.29,1.07
198112,-4.52,0.87
198201,-4.04,0.8
198202,-6.78,0.92
198203,-2.85,0.98
198204,2.14,1.13
198205,-5.05,1.06
198206,-4.05,0.96
198207,-4.24,1.05
198208,10.38,0.76
198209,0.78,0.51
198210,10.71,0.59
198211,4.04,0.63
198212,-0.12,0.67
198301,2.91,0.69
198302,1.97,0.62
198303,2.19,0.63
198304,5.96,0.71
198305,-0.17,0.69
198306,2.4,0.67
198307,-4.81,0.74
198308,-1.26,0.76
198309,0.15,0.76
198310,-4.2,0.76
198311,1.46,0.7
198312,-2.51,0.73
198401,-2.68,0.76
