Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF,Lo 30,Hi 30,Low30_INV,High30_INV,INV_auto,SMALL LoBM_excess,ME1 BM2_excess,ME1 BM3_excess,ME1 BM4_excess,SMALL HiBM_excess,ME2 BM1_excess,ME2 BM2_excess,ME2 BM3_excess,ME2 BM4_excess,ME2 BM5_excess,ME3 BM1_excess,ME3 BM2_excess,ME3 BM3_excess,ME3 BM4_excess,ME3 BM5_excess,ME4 BM1_excess,ME4 BM2_excess,ME4 BM3_excess,ME4 BM4_excess,ME4 BM5_excess,BIG LoBM_excess,ME5 BM2_excess,ME5 BM3_excess,ME5 BM4_excess,BIG HiBM_excess
1963-07-01,1.1307,-0.3091,0.7079,0.1062,-1.3211,-1.8071,0.1899,-1.0105,-1.9644,-1.1889,-2.3521,-1.6912,-0.658,-2.1306,-1.7984,-0.9806,-1.6781,-1.9184,-1.5741,-1.8567,0.1547,0.4833,1.2286,-0.5862,-1.1026,-0.39,-0.45,-0.97,0.27,-1.14,0.43,-1.05,0.5066666666666667,-1.5699999999999998,0.8607,-0.5791,0.43789999999999996,-0.1638,-1.5911,-2.0770999999999997,-0.0801,-1.2805,-2.2344,-1.4589,-2.6221,-1.9612,-0.928,-2.4006,-2.0684,-1.2506,-1.9481,-2.1884,-1.8441,-2.1267,-0.11530000000000001,0.2133,0.9585999999999999,-0.8562000000000001,-1.3726
1963-08-01,4.237,1.3834,1.4977,2.3755,4.7567,5.5665,4.5191,4.4424,4.4188,8.2329,5.0811,5.3005,5.3891,4.832,5.1541,5.4259,4.7306,6.2332,7.6782,5.3469,5.7691,4.255,4.5936,8.2831,6.3824,5.07,-0.98,1.8,0.25,5.84,5.54,5.88,6.093333333333333,0.2999999999999998,3.987,1.1334,1.2477,2.1255,4.5067,5.3165,4.2691,4.1924,4.1688,7.982900000000001,4.8311,5.0505,5.1391,4.582,4.9041,5.1759,4.4806,5.9832,7.4282,5.0969,5.5191,4.005,4.3436,8.0331,6.1324
1963-09-01,-2.8878,0.6263,-1.0204,-1.6,-0.432,-4.0502,-1.5034,-0.8798,-1.1812,-2.9149,-4.3205,-1.903,-0.4698,-0.4495,-1.8203,-2.7974,-2.0801,-1.78,-3.9639,-1.9943,-1.3595,-0.8054,-0.8135,-0.2145,-3.4963,-1.57,-0.33,0.13,0.27,-1.43,-1.08,-1.47,-1.2666666666666666,-0.34999999999999987,-3.1578,0.35629999999999995,-1.2904,-1.87,-0.702,-4.3202,-1.7734,-1.1498,-1.4512,-3.1849,-4.5905000000000005,-2.173,-0.7398,-0.7195,-2.0903,-3.0674,-2.3501,-2.05,-4.2339,-2.2643,-1.6295,-1.0754000000000001,-1.0835,-0.48450000000000004,-3.7663
1963-10-01,1.2885,-0.7071,1.3132,0.0855,2.3988,1.1916,4.2342,2.3524,2.2012,3.9335,2.3965,0.4261,2.3757,2.054,1.068,-0.3902,0.6829,2.6229,4.8492,0.6113,5.3339,1.7427,-0.2469,2.3915,0.4857,2.53,-0.58,-0.1,0.29,2.28,5.98,2.23,5.733333333333333,-3.7000000000000006,0.9984999999999999,-0.9970999999999999,1.0231999999999999,-0.20449999999999996,2.1088,0.9016,3.9442000000000004,2.0624,1.9112,3.6435,2.1065,0.1361,2.0857,1.7639999999999998,0.778,-0.6801999999999999,0.39289999999999997,2.3329,4.5592,0.3213,5.0439,1.4526999999999999,-0.5368999999999999,2.1015,0.19570000000000004
1963-11-01,-3.3751,-3.7534,-1.8055,-1.0487,-1.0538,-4.2561,-1.7534,-0.7809,-0.1002,-0.1132,-2.9952,-1.2889,-0.9685,-0.8218,-1.2116,-0.8798,-0.6434,-0.7933,1.361,3.5388,-1.2556,1.0072,-1.7425,-2.0838,1.3455,-0.85,-1.17,1.75,0.27,0.39,-2.04,0.27666666666666667,-1.8099999999999998,2.43,-3.6451000000000002,-4.0234000000000005,-2.0755,-1.3187,-1.3238,-4.5261,-2.0234,-1.0509,-0.37020000000000003,-0.3832,-3.2652,-1.5589,-1.2385000000000002,-1.0918,-1.4816,-1.1498,-0.9134,-1.0633,1.091,3.2688,-1.5256,0.7372000000000001,-2.0125,-2.3538,1.0755
1963-12-01,-2.3514,-1.0552,-0.9426,-1.6532,-1.1371,-0.8745,-0.7563,1.0243,0.8901,0.1212,0.1627,1.6403,0.6901,1.5968,0.4665,-0.1205,1.2259,1.7043,3.2904,6.1498,2.6278,2.3215,2.1468,2.5739,2.1308,1.83,-2.16,-0.02,0.29,2.1,2.42,2.0933333333333333,2.016666666666667,-0.31999999999999984,-2.6414,-1.3452,-1.2326,-1.9432,-1.4271,-1.1645,-1.0463,0.7343,0.6001000000000001,-0.16879999999999998,-0.12729999999999997,1.3503,0.40010000000000007,1.3068,0.17650000000000005,-0.4105,0.9359,1.4143,3.0004,5.8598,2.3378,2.0315,1.8567999999999998,2.2839,1.8407999999999998
1964-01-01,3.9847,2.9078,4.2205,4.1486,4.8526,-2.0215,-0.494,3.6379,1.4763,4.2346,0.2315,0.7072,3.1367,3.863,3.2152,-0.3177,1.8305,1.085,3.6027,3.3373,3.1011,3.1974,1.616,2.0948,1.6235,2.24,-0.11,1.48,0.3,3.26,3.24,3.206666666666667,1.83,0.019999999999999574,3.6847000000000003,2.6078,3.9205000000000005,3.8486000000000002,4.5526,-2.3215,-0.794,3.3379000000000003,1.1763,3.9346000000000005,-0.06849999999999998,0.40720000000000006,2.8367,3.563,2.9152,-0.6176999999999999,1.5305,0.7849999999999999,3.3027,3.0373,2.8011000000000004,2.8974,1.316,1.7948000000000002,1.3235
1964-02-01,2.9588,2.8547,2.2673,0.2896,4.4542,1.6174,1.7276,2.6604,2.1229,6.1003,0.1187,2.6085,1.6724,3.7522,4.0122,2.4189,1.6518,2.8631,7.1933,4.6097,1.8294,0.5208,1.2004,3.8475,3.751,1.54,0.11,2.81,0.26,2.57,1.5,2.4966666666666666,1.4400000000000002,1.0699999999999998,2.6988000000000003,2.5946999999999996,2.0073,0.029600000000000015,4.1942,1.3574,1.4676,2.4004000000000003,1.8629,5.8403,-0.1413,2.3484999999999996,1.4124,3.4922000000000004,3.7522,2.1589,1.3918,2.6031000000000004,6.9333,4.3497,1.5694,0.26080000000000003,0.9403999999999999,3.5875000000000004,3.4909999999999997
1964-03-01,0.503,1.5081,2.2031,3.5485,2.8221,2.3433,3.2056,3.3558,5.6796,6.1528,-0.812,2.8231,3.9174,5.5544,6.7543,1.9869,3.0214,5.1951,7.1217,0.7218,1.1571,0.7641,3.814,3.6258,0.1494,1.41,0.87,3.4,0.31,4.13,1.77,4.306666666666667,1.7633333333333334,2.36,0.193,1.1981,1.8931,3.2385,2.5120999999999998,2.0333,2.8956,3.0458,5.3696,5.8428,-1.122,2.5131,3.6074,5.244400000000001,6.4443,1.6769,2.7114,4.8851,6.8117,0.4118,0.8471,0.4541,3.504,3.3158,-0.1606
1964-04-01,-1.5627,2.5881,-0.4526,-0.9088,-0.9224,-0.909,-3.8822,0.8069,-1.6136,-0.6557,-1.9692,-1.1113,-0.0397,-0.7632,-1.0221,-2.6991,0.3369,2.0285,-2.6349,-2.2799,0.2344,1.4746,0.8109,-0.9601,2.4177,0.1,-1.35,-0.67,0.29,-1.97,0.98,-1.9466666666666665,1.1233333333333333,-2.95,-1.8527,2.2981,-0.7425999999999999,-1.1988,-1.2124,-1.199,-4.1722,0.5168999999999999,-1.9036,-0.9457,-2.2592,-1.4013,-0.3297,-1.0532,-1.3121,-2.9891,0.0469,1.7385000000000002,-2.9249,-2.5699,-0.05559999999999998,1.1845999999999999,0.5208999999999999,-1.2501,2.1277
1964-05-01,-1.2518,-1.3145,0.5391,0.3478,1.4297,3.1453,0.4094,3.0152,1.8542,3.7386,-0.5957,1.6388,-0.2874,1.9748,2.4988,1.0442,2.3211,1.4455,1.3443,4.101,2.0727,0.3363,1.3733,4.1545,3.3864,1.42,-0.86,1.86,0.26,1.4,2.72,1.3533333333333333,2.6533333333333338,-1.3200000000000003,-1.5118,-1.5745,0.2791,0.08779999999999999,1.1697,2.8853,0.14939999999999998,2.7552000000000003,1.5942,3.4786,-0.8557,1.3788,-0.5474,1.7148,2.2388000000000003,0.7842,2.0610999999999997,1.1855,1.0843,3.841,1.8127000000000002,0.07629999999999998,1.1133,3.8945,3.1264000000000003
1964-06-01,1.946,0.5188,1.3075,0.7959,0.9147,0.8834,1.6576,1.8891,1.1354,2.2101,0.8853,2.0993,2.8346,2.5644,1.2404,0.8951,1.4976,0.9628,2.4887,3.1078,0.9767,2.849,0.4461,1.3912,2.4156,1.27,-0.12,0.62,0.3,0.53,1.07,0.6033333333333333,0.9766666666666666,-0.54,1.646,0.21880000000000005,1.0075,0.49590000000000006,0.6147,0.5833999999999999,1.3576,1.5891,0.8353999999999999,1.9101000000000001,0.5852999999999999,1.7993,2.5346,2.2644,0.9403999999999999,0.5951,1.1976,0.6628000000000001,2.1887000000000003,2.8078000000000003,0.6767000000000001,2.5490000000000004,0.1461,1.0912,2.1156
1964-07-01,1.1364,3.598,4.1997,2.6962,4.7378,0.8714,2.0803,3.9145,3.0061,2.2565,3.2114,2.6285,3.0958,3.1894,1.7144,1.5587,3.2925,1.6024,1.7746,2.668,2.5593,0.6931,3.895,1.8781,0.9938,1.74,0.24,0.75,0.3,3.42,0.65,3.2999999999999994,0.71,2.77,0.8364,3.298,3.8997,2.3962000000000003,4.4378,0.5713999999999999,1.7802999999999998,3.6145,2.7061,1.9565,2.9114,2.3285,2.7958000000000003,2.8894,1.4143999999999999,1.2587,2.9925,1.3024,1.4746,2.3680000000000003,2.2593,0.39310000000000006,3.595,1.5781,0.6938
1964-08-01,1.699,-2.5452,-1.7463,-0.935,-0.5052,-1.8721,-2.2057,-1.3777,0.5325,-1.8135,-2.4425,-0.4268,0.1871,-0.1122,-1.9374,-1.0819,0.1208,1.0304,-0.0191,-0.7376,-1.2776,-1.5567,-0.0812,-0.8938,-2.9017,-1.44,0.16,0.08,0.28,-0.25,-1.55,-0.19333333333333336,-1.2000000000000002,1.3,1.419,-2.8251999999999997,-2.0263,-1.215,-0.7852,-2.1521,-2.4857000000000005,-1.6577,0.25249999999999995,-2.0934999999999997,-2.7225,-0.7068000000000001,-0.09290000000000004,-0.3922,-2.2174,-1.3619,-0.1592,0.7504,-0.29910000000000003,-1.0176,-1.5576,-1.8367,-0.3612,-1.1738,-3.1817
1964-09-01,5.4317,2.9658,6.2273,2.7592,3.9745,3.351,2.6284,2.1898,2.3386,4.6564,1.7641,2.0931,3.4226,3.0757,3.6527,3.1274,3.3276,4.2425,4.849,4.3553,3.0853,1.3451,4.2821,4.5115,6.8457,2.69,-0.54,1.7,0.28,3.25,3.4,2.9266666666666663,3.6233333333333335,-0.1499999999999999,5.1517,2.6858000000000004,5.947299999999999,2.4791999999999996,3.6944999999999997,3.0709999999999997,2.3484,1.9098,2.0586,4.376399999999999,1.4841,1.8131000000000002,3.1426,2.7957,3.3727,2.8474000000000004,3.0476,3.9624999999999995,4.569,4.0752999999999995,2.8053,1.0651,4.0020999999999995,4.2315,6.5657
1964-10-01,1.9006,0.1107,2.7473,1.9247,3.3451,-1.3446,1.2319,2.5228,1.2083,1.3903,3.4355,3.4972,1.9444,1.1553,2.7051,0.9314,1.297,1.2787,3.1881,3.8467,0.3214,1.0905,0.5691,0.524,3.3,0.59,0.42,1.17,0.29,0.93,0.23,1.1833333333333333,0.1333333333333333,0.7000000000000001,1.6106,-0.17929999999999996,2.4573,1.6347,3.0551,-1.6346,0.9419,2.2328,0.9182999999999999,1.1003,3.1455,3.2072,1.6543999999999999,0.8653,2.4151,0.6414,1.007,0.9886999999999999,2.8981,3.5566999999999998,0.03140000000000004,0.8005,0.27910000000000007,0.23400000000000004,3.01
1964-11-01,-0.2983,-0.2308,0.7239,0.6806,0.5552,-0.9701,0.1302,-0.4432,-0.3674,-1.7494,1.312,0.6007,0.1024,0.4066,-0.0521,0.658,1.645,-0.8847,-0.8331,-4.6769,1.0411,-0.3669,1.6408,-1.2637,-4.669,0.0,0.69,-1.96,0.29,0.76,0.47,0.7000000000000001,0.4666666666666666,0.29000000000000004,-0.5883,-0.5207999999999999,0.4339,0.3906,0.26520000000000005,-1.2601,-0.15979999999999997,-0.7332,-0.6574,-2.0394,1.022,0.31070000000000003,-0.1876,0.11660000000000004,-0.34209999999999996,0.36800000000000005,1.355,-1.1747,-1.1231,-4.9669,0.7510999999999999,-0.6569,1.3508,-1.5537,-4.959
